,Municipality,Province,Season,Crop,Area,Production
588,1,274,1,10,1674.0,181328.0
589,1,274,1,11,24147.0,61551.0
590,1,274,2,7,2201.0,15596.0
591,1,274,2,10,829.0,89897.0
592,1,274,2,11,6601.0,19249.0
593,1,274,4,2,114.0,983000.0
594,1,274,1,4,1.0,18.0
595,1,274,1,7,1125.0,4537.0
596,1,274,1,8,20675.0,159714.0
597,1,274,1,10,1876.0,131607.0
598,1,274,1,11,51753.0,148842.0
599,1,274,2,7,4364.0,32529.0
600,1,274,2,11,10959.0,29447.0
601,1,274,4,0,8438.0,497926.0
602,1,274,4,2,90.0,647000.0
603,1,274,1,4,1.0,23.0
604,1,274,1,7,408.0,1336.0
605,1,274,1,8,21244.0,77817.0
606,1,274,1,10,789.0,84511.0
607,1,274,1,11,42124.0,155648.0
608,1,274,2,7,2945.0,19243.0
609,1,274,2,10,729.0,78084.0
610,1,274,2,11,3761.0,10189.0
611,1,274,4,2,121.0,1014000.0
612,1,274,4,11,45885.0,165837.0
613,1,334,1,7,5900.0,10500.0
614,1,334,1,11,257900.0,699400.0
615,1,334,2,7,2200.0,8200.0
616,1,334,2,11,116300.0,393500.0
617,1,334,1,7,3000.0,6200.0
618,1,334,1,11,280800.0,759900.0
619,1,334,2,7,1700.0,8600.0
620,1,334,2,11,134500.0,491200.0
621,1,334,1,7,5147.0,14623.0
622,1,334,1,11,278415.0,834490.0
623,1,334,2,7,2301.0,11139.0
624,1,334,2,11,127888.0,457596.0
625,1,334,1,7,7375.0,19205.0
626,1,334,1,11,281343.0,868787.0
627,1,334,2,7,3009.0,16200.0
628,1,334,2,11,112917.0,408308.0
629,1,334,4,0,1363.0,26208.0
630,1,334,4,2,1520.0,16273950.0
631,1,334,1,7,4512.0,12061.0
632,1,334,1,11,245114.0,714507.0
633,1,334,2,7,2707.0,17522.0
634,1,334,2,11,98472.0,358635.0
635,1,334,4,0,1556.0,3946.0
636,1,334,4,2,1789.0,19782864.0
637,1,334,1,7,5834.0,5653.0
638,1,334,1,11,243910.0,761243.0
639,1,334,2,7,4186.0,29002.0
640,1,334,2,11,2185.0,5688.0
641,1,334,4,0,1346.0,20586.0
642,1,334,4,2,1889.0,21255984.0
643,1,334,4,8,62800.0,234926.0
644,1,334,4,9,47.0,841.0
645,1,334,4,10,23.0,3000.0
646,1,334,1,7,6576.0,11284.0
647,1,334,1,11,222367.0,526565.0
648,1,334,2,7,5626.0,31506.0
649,1,334,2,11,7486.0,19359.0
650,1,334,4,0,1249.0,15574.0
651,1,334,4,2,1726.0,20407920.0
652,1,334,4,8,62652.0,147294.0
653,1,334,4,9,49.0,743.0
654,1,334,4,10,18.0,1635.0
655,1,334,1,7,7788.0,35467.0
656,1,334,1,11,245306.0,804849.0
657,1,334,2,7,5607.0,45170.0
658,1,334,2,11,10017.0,31584.0
659,1,334,4,0,1543.0,19223.0
660,1,334,4,2,1693.0,19892568.0
661,1,334,1,7,7483.0,37797.0
662,1,334,1,11,254919.0,697203.0
663,1,334,2,7,5988.0,38162.0
664,1,334,2,11,104332.0,409399.0
665,1,334,4,0,1601.0,27059.0
666,1,334,4,2,1627.0,14192976.0
667,1,334,1,7,4971.0,22504.0
668,1,334,1,11,251433.0,521221.0
669,1,334,2,7,6131.0,57552.0
670,1,334,2,11,94862.0,355638.0
671,1,334,4,0,1509.0,29004.0
672,1,334,4,2,1648.0,21220329.0
673,1,334,1,7,4000.0,23000.0
674,1,334,1,11,261000.0,944000.0
675,1,334,2,7,13000.0,102000.0
676,1,334,2,11,94000.0,355000.0
677,1,334,1,7,5070.0,25005.0
678,1,334,1,11,273878.0,959395.0
679,1,334,2,7,24249.0,205365.0
680,1,334,2,11,120655.0,467900.0
681,1,334,4,0,1475.0,40328.0
682,1,334,4,2,2129.0,19439434.0
683,1,334,1,7,3552.0,16339.0
684,1,334,1,11,228196.0,784310.0
685,1,334,2,7,16863.0,139676.0
686,1,334,2,11,108442.0,424984.0
687,1,334,4,0,1632.0,35124.0
688,1,334,4,2,2090.0,23599014.0
689,1,334,1,7,2468.0,11163.0
690,1,334,1,11,260350.0,722978.0
691,1,334,2,7,16750.0,142945.0
692,1,334,2,11,94991.0,367710.0
693,1,334,4,0,1465.0,33847.0
694,1,334,1,7,4876.0,19275.0
695,1,334,1,11,262826.0,980105.0
696,1,334,2,7,19811.0,145631.0
697,1,334,2,11,9203.0,31437.0
698,1,334,4,0,1180.0,35937.0
699,1,334,4,2,1965.0,27512912.0
700,1,334,1,7,5246.0,24856.0
701,1,334,1,8,54501.0,436226.0
